Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 10.54.42.556 AM,Total Frames in Take,868,Total Exported Frames,868,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004
,ID,"C3B20","C3B20","C3B20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
483,1.932000,-0.003231,0.006902,1.441356
484,1.936000,-0.003264,0.006893,1.441345
485,1.940000,-0.003288,0.006860,1.441345
486,1.944000,-0.003242,0.006898,1.441338
487,1.948000,-0.003293,0.006836,1.441351
488,1.952000,-0.003306,0.006822,1.441339
489,1.956000,-0.003318,0.006823,1.441339
490,1.960000,-0.003314,0.006799,1.441350
491,1.964000,-0.003309,0.006834,1.441335
492,1.968000,-0.003279,0.006841,1.441348
493,1.972000,-0.003232,0.006906,1.441358
494,1.976000,-0.003282,0.006858,1.441349
495,1.980000,-0.003250,0.006903,1.441359
496,1.984000,-0.003225,0.006932,1.441352
497,1.988000,-0.003244,0.006918,1.441339
498,1.992000,-0.003307,0.006856,1.441336
499,1.996000,-0.003286,0.006854,1.441347
500,2.000000,-0.003286,0.006845,1.441337
501,2.004000,-0.003307,0.006812,1.441350
502,2.008000,-0.003292,0.006847,1.441346
503,2.012000,-0.003302,0.006836,1.441347
504,2.016000,-0.003275,0.006864,1.441348
505,2.020000,-0.003284,0.006852,1.441363
506,2.024000,-0.003311,0.006843,1.441342
507,2.028000,-0.003251,0.006918,1.441338
508,2.032000,-0.003293,0.006883,1.441338
509,2.036000,-0.003263,0.006863,1.441358
510,2.040000,-0.003264,0.006877,1.441337
511,2.044000,-0.003287,0.006857,1.441353
512,2.048000,-0.003281,0.006858,1.441339
513,2.052000,-0.003271,0.006884,1.441339
514,2.056000,-0.003274,0.006879,1.441343
515,2.060000,-0.003274,0.006872,1.441350
516,2.064000,-0.003303,0.006857,1.441347
517,2.068000,-0.003277,0.006851,1.441344
518,2.072000,-0.003305,0.006822,1.441343
519,2.076000,-0.003319,0.006815,1.441347
520,2.080000,-0.003315,0.006795,1.441351
521,2.084000,-0.003285,0.006847,1.441338
522,2.088000,-0.003307,0.006832,1.441349
523,2.092000,-0.003249,0.006882,1.441354
524,2.096000,-0.003236,0.006912,1.441347
525,2.100000,-0.003217,0.006917,1.441352
526,2.104000,-0.003254,0.006895,1.441347
527,2.108000,-0.003248,0.006903,1.441338
528,2.112000,-0.003264,0.006894,1.441361
529,2.116000,-0.003308,0.006853,1.441357
530,2.120000,-0.003277,0.006837,1.441347
531,2.124000,-0.003282,0.006848,1.441360
532,2.128000,-0.003307,0.006829,1.441345
533,2.132000,-0.003301,0.006826,1.441355
534,2.136000,-0.003261,0.006868,1.441356
535,2.140000,-0.003306,0.006822,1.441339
536,2.144000,-0.003268,0.006860,1.441344
537,2.148000,-0.003249,0.006873,1.441356
538,2.152000,-0.003267,0.006864,1.441349
539,2.156000,-0.003271,0.006855,1.441365
540,2.160000,-0.003264,0.006869,1.441346
541,2.164000,-0.003231,0.006881,1.441359
